p_val_adj,cluster,gene,
9.25E-66,26,ctgfa,
1.41E-65,26,optc,
1.82E-65,26,col1a2,
1.27E-63,26,tram1,
2.98E-63,26,lsp1,
2.53E-62,26,kif26ba,
4.19E-62,26,ckap4,
7.14E-62,26,msx1b,
1.16E-61,26,emid1,
1.24E-61,26,fat2,
4.53E-59,26,tgfbi,
7.77E-59,26,nog1,
3.15E-57,26,pmp22a,
4.84E-55,26,cyr61,
9.05E-55,26,bambia,
4.34E-54,26,calr3b,
2.50E-53,26,hoxb9a,
6.42E-52,26,col1a1a,
7.70E-52,26,prdx5,
9.51E-52,26,pleca,
4.66E-51,26,prrx1b,
1.28E-49,26,atf3,
1.85E-49,26,pdgfra,
3.97E-49,26,mcamb,
3.59E-46,26,zgc:66479,
5.42E-46,26,ripply2,
2.25E-44,26,slc37a2,
1.22E-43,26,matn4,
1.68E-42,26,xbp1,
2.19E-42,26,mespaa,
3.55E-42,26,myod1,
6.06E-42,26,hhip,
7.71E-42,26,rbm24a,
9.66E-42,26,fosb,
1.34E-40,26,mxra5b,
1.64E-39,26,cygb1,
1.33E-36,26,sulf1,
2.75E-36,26,egr4,
3.24E-36,26,col15a1a,
2.40E-35,26,dnase1l4.1,
1.93E-34,26,cdo1,
2.93E-33,26,pcdh8,
1.77E-32,26,crabp2b,
3.76E-32,26,fstl1a,
4.48E-32,26,grp,
3.58E-27,26,fibinb,
8.16E-27,26,spon1b,
3.32E-24,26,aplnra,
3.96E-24,26,eya1,
3.51E-22,26,npnt,
6.47E-21,26,angptl6,
9.32E-21,26,ppp1r14c,
1.82E-17,26,wu:fb97g03,
2.74E-16,26,cyp26a1,
4.75E-16,26,shisa2b,
1.41E-14,26,col13a1,
5.15E-12,26,msgn1,
1.14E-10,26,her7,
4.66E-10,26,lhx2b,
8.83E-09,26,corin,
2.04E-07,26,igfbp5b,
1.86E-06,26,tbx6,
3.12E-06,26,mafa,
4.01E-06,26,tbxta,
2.03E-05,26,si:ch73-335l21.4,
0.00779734485902176,26,her11,
0.0356657664370619,26,cxcl12a,
2.17E-109,27,dlx2a,
3.30E-105,27,dlx1a,
2.43E-100,27,arxa,
2.10E-98,27,arxb,
6.74E-96,27,dlx2b,
1.69E-95,27,myt1b,
6.58E-86,27,myt1a,
4.34E-83,27,sp9,
4.61E-82,27,LOC100537384,
5.14E-82,27,elavl3,
1.72E-81,27,dlx5a,
5.76E-81,27,dlx6a,
1.72E-77,27,sox4a,
7.46E-73,27,vamp2,
1.01E-67,27,pou2f2a,
1.97E-66,27,bcl11ba,
2.30E-66,27,stmn1b,
4.15E-58,27,dlb,
7.23E-57,27,cxxc4,
1.15E-55,27,onecut2,
1.21E-55,27,elavl4,
2.75E-53,27,slc6a1b,
8.71E-53,27,scrt2,
1.66E-52,27,ndrg4,
2.59E-52,27,insm1b,
4.75E-52,27,syt11a,
4.50E-50,27,id4,
2.98E-49,27,gsx2,
8.87E-48,27,chodl,
3.38E-47,27,ckbb,
6.26E-47,27,nrxn3a,
4.20E-44,27,syt2a,
1.40E-43,27,stx1b,
4.99E-43,27,sprn2,
1.37E-42,27,aplp1,
1.35E-41,27,spock3,
2.65E-40,27,nrxn1a,
5.46E-39,27,nfasca,
1.28E-38,27,foxp2,
1.64E-38,27,slc1a2b,
9.30E-38,27,st8sia5,
1.46E-37,27,six3b,
1.67E-37,27,map1aa,
3.96E-36,27,isl1,
4.01E-36,27,hapln1a,
6.89E-34,27,tmsb,
1.64E-33,27,lhx2b,
1.88E-33,27,sv2a,
3.19E-33,27,celf4,
6.19E-33,27,dll4,
8.61E-33,27,lhx1a,
2.68E-32,27,nkx2.2a,
4.06E-32,27,kcnc3a,
5.97E-32,27,gpc1a,
4.14E-31,27,gad2,
2.86E-30,27,nsg2,
6.79E-30,27,LOC798783,
1.13E-29,27,ywhag2,
1.36E-29,27,ache,
1.59E-29,27,rtn1b,
6.12E-29,27,calm1b,
2.12E-28,27,nkx2.1,
5.53E-28,27,nkx2.4a,
5.55E-28,27,l1cama,
1.21E-27,27,sox1b,
1.18E-25,27,gabrb4,
2.30E-25,27,pak1,
1.01E-24,27,si:dkey-280e21.3,
1.01E-24,27,lgmn,
1.11E-24,27,ptprsb,
1.52E-24,27,atp6v1g1,
5.87E-24,27,foxg1a,
1.87E-23,27,atp6v0cb,
3.05E-23,27,slc32a1,
3.28E-23,27,atp6v1e1b,
4.14E-23,27,CU467822.1,
1.08E-22,27,stmn2a,
1.44E-22,27,nkx2.4b,
2.16E-22,27,cntn2,
2.08E-21,27,gng3,
4.70E-21,27,gad1b,
6.96E-20,27,smoc1,
8.93E-20,27,atp6v0ca,
4.94E-19,27,CR848047.1,
7.57E-19,27,sypa,
1.17E-18,27,cdk5r1b,
1.38E-18,27,zgc:65894,
3.46E-18,27,ARHGAP22 (1 of many),
5.51E-18,27,kif1aa,
1.88E-17,27,insm1a,
2.43E-17,27,egr4,
2.66E-17,27,cplx2,
3.44E-17,27,lhx5,
1.34E-16,27,gsx1,
1.57E-16,27,mllt11,
1.73E-15,27,spock1,
1.81E-15,27,gria1a,
2.13E-14,27,olig2,
5.38E-14,27,si:ch73-21g5.7,
1.18E-12,27,plxna4,
1.65E-12,27,tuba2,
3.66E-12,27,phactr3b,
2.14E-11,27,si:dkey-175g6.2,
4.03E-11,27,stmn2b,
1.09E-10,27,gap43,
3.13E-10,27,bcl11aa,
6.26E-10,27,six6b,
6.47E-10,27,ascl1a,
2.46E-09,27,ribc1,
2.87E-09,27,sncb,
5.12E-09,27,myo5aa,
1.03E-08,27,stxbp1a,
1.70E-08,27,eno1a,
2.00E-07,27,slc35g2b,
4.24E-07,27,sox1a,
5.31E-07,27,nkx2.2b,
4.07E-06,27,foxd1,
4.28E-06,27,sp8a,
5.75E-06,27,lhx8b,
5.82E-06,27,syt1a,
7.06E-06,27,hmx3a,
2.15E-05,27,nfia,
3.25E-05,27,celf5a,
5.14E-05,27,onecut1,
0.00743874262587331,27,atp1a3a,
0.00855593741601842,27,im:7152348,
0.0385346132812452,27,bsx,
0.0394401882788158,27,h1fx,
0.0955200481180482,27,vax1,
1,27,scrt1a,
1,27,maptb,
1,27,fezf1,
1,27,six6a,
1,27,pbx3b,
1.37E-110,28,vwde,
1.09E-106,28,col1a2,
2.88E-106,28,col1a1b,
3.94E-105,28,col5a1,
2.87E-103,28,col5a2a,
1.74E-102,28,postnb,
3.95E-97,28,pmp22a,
3.58E-95,28,fkbp7,
2.74E-93,28,col1a1a,
1.01E-92,28,emp2,
7.98E-91,28,lrrc17,
6.29E-86,28,col6a1,
2.30E-85,28,col6a2,
4.27E-85,28,si:ch211-43f4.1,
1.07E-82,28,angptl7,
8.96E-81,28,cyr61,
1.46E-80,28,rcn3,
3.42E-80,28,tgfbi,
1.01E-78,28,cxcl18b,
8.92E-78,28,si:ch1073-459j12.1,
1.70E-76,28,col6a4a,
3.14E-76,28,rbfox1,
5.18E-76,28,col2a1b,
6.36E-74,28,krt18b,
1.00E-72,28,fkbp9,
3.53E-72,28,rbp7b,
4.23E-71,28,ptges,
9.76E-71,28,arpc1b,
2.87E-69,28,socs3a,
1.37E-68,28,ckap4,
4.70E-68,28,cd248b,
4.02E-66,28,twist1a,
7.93E-66,28,c7a,
2.03E-65,28,meox1,
7.03E-65,28,rbp5,
8.79E-65,28,dcn,
1.11E-64,28,sult1st1,
8.92E-64,28,twist1b,
6.42E-63,28,hapln1a,
7.29E-63,28,kif26ba,
1.12E-62,28,tuba8l2,
4.29E-61,28,col11a1a,
9.67E-61,28,pleca,
1.26E-60,28,krt18a.1,
1.36E-60,28,col16a1,
2.24E-59,28,zgc:162730,
2.66E-59,28,hoxb8a,
1.29E-58,28,fmoda,
7.23E-58,28,gadd45bb,
9.49E-58,28,col6a3,
2.42E-57,28,adamts15a,
1.18E-54,28,rdh10a,
6.63E-54,28,fbln1,
7.71E-53,28,CABZ01068358.1,
3.43E-52,28,nkx3-1,
1.02E-51,28,xbp1,
1.50E-51,28,si:dkey-184p18.2,
1.79E-50,28,ccl25b,
9.60E-50,28,flna,
2.77E-49,28,sostdc1b,
4.35E-48,28,ctgfa,
8.38E-48,28,serpinh1b,
1.85E-47,28,ahnak,
3.42E-47,28,lsp1,
3.66E-47,28,cthrc1a,
3.05E-44,28,en1a,
3.46E-44,28,tram1,
4.29E-44,28,col12a1b,
4.45E-44,28,calr3b,
9.92E-43,28,fibina,
5.74E-42,28,krt8,
6.95E-42,28,hoxb9a,
9.33E-42,28,si:dkey-261h17.1,
1.59E-41,28,ntd5,
7.73E-41,28,en1b,
9.37E-41,28,aldh1a2,
1.70E-38,28,grem2b,
1.90E-38,28,sult6b1,
3.17E-38,28,thy1,
5.70E-38,28,fkbp11,
2.34E-35,28,ebf3a,
2.78E-35,28,myf5,
1.09E-33,28,tnn,
2.21E-32,28,zgc:162612,
3.79E-32,28,matn4,
6.07E-32,28,ca6,
1.29E-29,28,col4a1,
2.43E-29,28,hhip,
4.77E-29,28,CR381618.1,
5.04E-28,28,kazald2,
7.65E-28,28,pax7a,
1.61E-27,28,alcama,
4.52E-27,28,stra6,
5.69E-27,28,bin1b,
7.87E-27,28,mxra5a,
1.35E-26,28,efemp2a,
9.83E-25,28,glula,
5.60E-24,28,bmp5,
9.70E-24,28,optc,
1.30E-22,28,cd63,
1.61E-21,28,cebpd,
2.78E-21,28,myoc,
3.50E-20,28,cxcl12b,
6.88E-20,28,pdgfrl,
1.62E-19,28,pdgfra,
4.66E-19,28,col4a6,
1.51E-16,28,CABZ01039096.1,
8.06E-16,28,tgfb3,
9.92E-16,28,fsta,
1.04E-15,28,atf3,
5.40E-15,28,fibinb,
5.62E-14,28,fstl1a,
1.84E-13,28,dmrt2a,
2.13E-13,28,nog1,
2.78E-12,28,angptl2a,
2.95E-12,28,cygb1,
9.03E-12,28,pi15a,
4.46E-11,28,cyp27c1,
5.61E-10,28,smoc1,
5.76E-10,28,ptx3a,
2.54E-09,28,gpm6ab,
6.18E-08,28,itgb4,
2.97E-07,28,foxd1,
1.25E-05,28,cxcl12a,
1.61E-05,28,wnt11r,
1.78E-05,28,vcanb,
2.65E-05,28,col7a1l,
3.25E-05,28,adam8a,
0.00318078625956203,28,foxd2,
0.0731128015744271,28,igfbp5b,
0.120538721010507,28,fn1b,
0.503010678241912,28,uncx,
0.848925649549588,28,thbs1b,
1,28,cdh15,
1,28,pax7b,
1.22E-61,29,pi15a,
3.58E-58,29,cxcr4a,
1.25E-55,29,tcea3,
7.07E-53,29,si:ch73-187m15.4,
3.57E-51,29,si:ch1073-459j12.1,
2.70E-40,29,si:ch211-67e16.11,
6.27E-40,29,hspb1,
8.83E-39,29,LOC101885394,
1.91E-36,29,apoeb,
1.01E-34,29,six3b,
2.19E-31,29,vcanb,
3.11E-28,29,CABZ01072614.1,
1.11E-27,29,her7,
3.53E-27,29,hoxb13a,
2.01E-26,29,angptl7,
5.26E-26,29,si:ch73-335l21.4,
5.55E-25,29,six1b,
2.81E-24,29,CABZ01072309.2,
3.00E-23,29,mmrn2b,
7.99E-23,29,zgc:194839,
2.15E-22,29,lrrc17,
2.61E-21,29,fbln1,
5.54E-21,29,lhx9,
7.28E-21,29,si:dkey-185m8.2,
1.44E-19,29,apela,
2.10E-19,29,col16a1,
2.43E-19,29,col5a1,
2.69E-19,29,angptl6,
4.20E-19,29,tll1,
1.21E-18,29,XLOC-025819,
6.46E-18,29,cxcl12a,
6.57E-18,29,npnt,
7.27E-18,29,prp,
1.65E-17,29,lsp1,
5.01E-17,29,ctgfa,
9.40E-17,29,tbx16,
2.02E-14,29,col1a1a,
1.65E-13,29,tbx6,
3.20E-13,29,prrx1b,
1.36E-12,29,lhx2b,
2.12E-11,29,sulf1,
4.63E-10,29,flna,
2.08E-09,29,myod1,
3.67E-09,29,hoxc13a,
8.22E-09,29,fkbp11,
8.37E-09,29,msgn1,
1.85E-08,29,col5a2a,
4.52E-08,29,c1qtnf5,
7.98E-08,29,ahnak,
1.76E-07,29,corin,
2.00E-07,29,CABZ01045617.1,
4.64E-07,29,aplnra,
9.33E-07,29,cxcl12b,
1.08E-06,29,twist1a,
1.25E-06,29,tbx18,
1.31E-06,29,fras1,
2.93E-06,29,shisa2b,
1.29E-05,29,wnt16,
0.000114495892578032,29,rcn3,
0.000461480957697181,29,mxra5b,
0.000970878440893583,29,hoxb6b,
0.00161002529452115,29,col13a1,
0.00189203718905641,29,fat2,
0.00299208261327511,29,ucp2,
0.00313396379206446,29,fn1b,
0.00345171660460685,29,pcdh8,
0.0176805704789818,29,col4a5,
0.0321237767460651,29,CABZ01074130.1,
0.0370654791163207,29,plecb,
0.0873224063428233,29,calr3b,
0.0913136414942052,29,fosb,
0.349458032304013,29,si:ch211-242b18.1,
0.574643971704519,29,fkbp9,
0.830232960756712,29,CABZ01039096.1,
0.991808517381629,29,myoc,
1,29,LOC110439627,
1,29,vcana,
1,29,tuba8l2,
1,29,matn4,
1,29,tspan9a,
4.89E-96,30,atoh1a,
3.92E-85,30,cdh6,
7.01E-77,30,olig3,
8.34E-77,30,atoh1b,
1.50E-69,30,meis2b,
2.31E-68,30,LOC798783,
1.20E-65,30,msx1b,
1.05E-55,30,im:7152348,
2.85E-51,30,elavl3,
6.49E-50,30,olig4,
1.02E-48,30,myt1a,
1.33E-47,30,si:ch73-21g5.7,
8.41E-44,30,myt1b,
7.75E-39,30,fstl1a,
1.89E-38,30,sema3bl,
8.35E-35,30,scrt2,
4.65E-34,30,fibinb,
1.06E-29,30,nfasca,
2.97E-28,30,wnt1,
1.26E-25,30,casz1,
1.10E-22,30,dlb,
6.83E-21,30,barhl1b,
2.59E-18,30,adam8a,
1.27E-12,30,h1fx,
6.64E-10,30,egr2a,
7.06E-08,30,XLOC-032526,
3.44E-07,30,egr2b,
9.20E-06,30,nxph3,
1.16E-05,30,en2b,
6.07E-05,30,bmp5,
0.0159002775566853,30,pax5,
0.755486256884058,30,mafba,
1,30,zgc:112332,
1,30,nog2,
3.11E-92,31,en2a,
3.31E-91,31,pax5,
6.85E-88,31,en2b,
7.05E-81,31,en1b,
2.13E-72,31,XLOC-032526,
1.39E-60,31,XLOC-026578,
5.24E-59,31,XLOC-001603,
1.64E-57,31,pax2a,
1.06E-56,31,slf1,
4.72E-55,31,tubb2,
3.59E-54,31,en1a,
2.40E-43,31,fgf8a,
5.91E-40,31,bcam,
2.17E-38,31,lama5,
3.58E-38,31,BX927258.1,
9.99E-38,31,pax7b,
1.84E-36,31,atoh1a,
2.32E-36,31,col5a3a,
5.85E-36,31,pou2f2a,
1.45E-35,31,pax7a,
2.20E-35,31,flrt1b,
2.13E-32,31,gbx2,
1.08E-29,31,XLOC-003678,
2.94E-28,31,nupr1b,
3.92E-27,31,atoh1b,
4.23E-21,31,ubxn8,
5.23E-21,31,fras1,
7.85E-20,31,XLOC-039121,
3.73E-19,31,msx1b,
6.21E-16,31,col4a6,
1.35E-10,31,dbx1b,
6.11E-10,31,olig3,
5.02E-09,31,sp9,
0.0590949699415313,31,her3,
2.77E-75,32,col9a1b,
2.89E-65,32,si:dkeyp-118a3.2,
5.67E-62,32,col2a1a,
5.07E-59,32,ucmab,
3.79E-54,32,CU681836.1,
7.73E-50,32,fam167b,
6.67E-47,32,tkta,
3.33E-46,32,optc,
7.61E-46,32,col9a3,
5.78E-44,32,zmp:0000000760,
1.81E-43,32,cyr61,
2.21E-42,32,prx,
9.09E-42,32,XLOC-027129,
2.20E-41,32,itgb3a,
5.43E-41,32,CABZ01078594.1,
2.19E-37,32,bag3,
3.64E-37,32,cacna2d1a,
4.53E-37,32,col8a1a,
4.16E-36,32,col9a2,
4.96E-36,32,cx43,
1.80E-35,32,pkp3a,
2.17E-35,32,pmp22b,
7.04E-35,32,socs3a,
2.02E-34,32,XLOC-006515,
4.50E-34,32,col11a2,
4.57E-34,32,mnx1,
1.90E-33,32,rbp7b,
1.59E-32,32,si:dkey-261h17.1,
2.39E-32,32,col11a1a,
5.35E-32,32,hsp90aa1.2,
5.47E-32,32,usp13,
5.44E-31,32,fam198b,
1.31E-30,32,tspan36,
1.24E-28,32,klhl31,
3.67E-28,32,ptk2bb,
6.80E-28,32,cyp26a1,
2.06E-27,32,cnmd,
3.74E-26,32,epyc,
8.37E-26,32,tpma,
1.29E-24,32,elovl1b,
2.65E-24,32,sncga,
3.78E-24,32,fxyd1,
6.62E-24,32,cav2,
6.80E-24,32,si:ch73-86n18.1,
7.41E-24,32,smyhc1,
7.05E-23,32,cmn,
4.78E-22,32,casz1,
5.93E-22,32,plekhf1,
2.58E-21,32,krt18a.1,
5.17E-21,32,foxa1,
5.68E-21,32,krt8,
8.21E-21,32,b3gnt7,
2.80E-20,32,hoxb8a,
9.24E-20,32,thbs1b,
1.10E-19,32,nog2,
1.42E-19,32,birc7,
4.66E-19,32,cav3,
1.34E-18,32,col2a1b,
2.45E-18,32,zgc:163030,
1.02E-17,32,slit1b,
1.14E-17,32,capn2b,
1.41E-17,32,arl4ca,
1.77E-16,32,hdr,
1.46E-15,32,lgals1l1,
2.00E-15,32,mtbl,
2.52E-15,32,cdx4,
5.16E-15,32,sult6b1,
9.82E-15,32,angptl6,
2.17E-14,32,fibinb,
4.73E-14,32,cmlc1,
7.50E-14,32,crip2,
1.44E-13,32,cavin2b,
3.50E-13,32,cavin1a,
3.94E-13,32,col5a3a,
1.63E-12,32,npr3,
4.06E-11,32,XLOC-040108,
5.65E-11,32,slc7a8a,
1.65E-10,32,selenow1,
2.57E-10,32,CABZ01072614.1,
3.68E-09,32,rab11fip1b,
4.64E-09,32,lama5,
5.15E-09,32,bin1b,
1.80E-08,32,tmem182a,
3.43E-08,32,pak1,
5.99E-08,32,serpinh1b,
1.44E-07,32,hjv,
1.48E-07,32,col15a1a,
1.69E-07,32,fkbp9,
1.71E-07,32,papss2b,
2.00E-07,32,hspb8,
3.74E-07,32,plecb,
8.36E-07,32,anxa2a,
8.53E-07,32,tgfb3,
1.49E-06,32,foxa2,
2.08E-06,32,krt5,
2.24E-06,32,fkbp7,
4.17E-06,32,atp6v1c1b,
6.53E-06,32,cdo1,
8.11E-06,32,krt94,
9.39E-06,32,zgc:162730,
1.27E-05,32,b3gnt7l,
1.29E-05,32,ptgdsb.1,
1.30E-05,32,pi15a,
1.70E-05,32,sulf1,
2.92E-05,32,foxa,
4.29E-05,32,nog1,
5.98E-05,32,col4a6,
0.000241520350157847,32,mxra5a,
0.000482789905762334,32,snorc,
0.000565384293139116,32,tbxta,
0.00155423526977595,32,cldn7b,
0.00326750539215568,32,kctd12.2,
0.00441310645462663,32,rnaseka,
0.00613315053840761,32,atp6v1e1b,
0.00864684784390735,32,col6a1,
0.0109129344631528,32,tuba8l2,
0.0131748933968847,32,cavin1b,
0.0145507605667264,32,wnt16,
0.0155328885759272,32,gadd45ga,
0.021243637263579,32,tbx3a,
0.0338809493007714,32,si:ch211-105c13.3,
0.0341917999366858,32,agtrap,
0.0557875493753207,32,apln,
0.0648360607983324,32,pcolcea,
0.0889277076104731,32,tdgf1,
0.10603636190853,32,id2b,
0.106830374923218,32,clu,
0.134122022408564,32,bhlhe40,
0.161563798681167,32,cst14a.2,
0.258124819496367,32,atp6v0a1a,
0.894523720632512,32,zgc:63831,
0.957840436401046,32,FQ323119.1,
1,32,atf3,
1,32,ckap4,
1,32,tmod4,
1,32,lmx1ba,
1,32,fstl1a,
1,32,ppp1r14c,
1,32,cast,
1,32,atp6v1g1,
1,32,ntd5,
1,32,palmda,
1,32,rcn3,
1,32,ctgfa,
1,32,tbx3b,
1,32,vgll2b,
1,32,alox12,
1.93E-77,33,zgc:101040,
2.44E-77,33,aqp8b,
3.84E-70,33,LOC101883320,
2.96E-67,33,atp1a1a.4,
7.28E-65,33,clic5b,
1.29E-62,33,atp1b1a,
1.14E-57,33,exoc3l2b,
9.34E-57,33,ahcyl1,
1.58E-56,33,capsla,
6.15E-56,33,ndrg1a,
4.67E-55,33,aldh8a1,
3.49E-54,33,sat1a.1,
1.28E-53,33,tpi1b,
1.11E-52,33,cldn15a,
3.49E-52,33,si:dkey-194e6.1,
1.02E-51,33,slc5a9,
8.32E-47,33,bin2a,
5.71E-46,33,ca2,
7.65E-45,33,krt18a.1,
3.22E-44,33,dab2,
7.76E-44,33,si:dkey-28n18.9,
2.56E-43,33,acy3.2,
8.82E-42,33,grhprb,
1.49E-40,33,sgk2a,
7.97E-40,33,sb:cb1058,
8.46E-40,33,gpd1b,
3.19E-39,33,si:rp71-17i16.6,
4.52E-37,33,epcam,
6.41E-37,33,osgn1,
6.23E-36,33,st3gal7,
1.57E-35,33,eps8l1a,
1.85E-33,33,cotl1,
2.01E-32,33,rgs4,
8.47E-32,33,si:ch211-139a5.9,
1.49E-31,33,pah,
3.44E-31,33,esrrga,
4.81E-30,33,eno3,
1.22E-29,33,mavs,
1.68E-29,33,tnfaip8l3,
2.59E-29,33,f11r.1,
5.09E-28,33,si:dkeyp-27c8.2,
6.02E-28,33,ap1s3b,
1.28E-27,33,krt8,
4.31E-27,33,nqo1,
9.21E-27,33,dap1b,
1.07E-25,33,CR786562.1,
2.27E-25,33,slc2a11b,
5.94E-25,33,mdh1ab,
6.32E-25,33,cdh17,
3.47E-24,33,zmp:0000001114,
5.20E-24,33,si:dkey-204f11.64,
8.28E-24,33,cldn8,
1.80E-23,33,tmem45b,
2.15E-23,33,agtrap,
3.64E-23,33,mal2,
4.97E-23,33,pygb,
5.39E-23,33,tpm2,
1.04E-22,33,elovl1b,
7.26E-22,33,tinagl1,
1.47E-20,33,ponzr1,
2.01E-20,33,tuba8l2,
8.04E-20,33,hnf1ba,
9.64E-20,33,pdzk1,
3.06E-19,33,pcbd1,
4.41E-19,33,ccdc88b,
8.96E-19,33,npr1b,
2.14E-18,33,dio3b,
2.87E-18,33,soul2,
1.21E-17,33,ppp1r14c,
4.00E-17,33,CABZ01072309.2,
4.63E-17,33,CABZ01068358.1,
5.56E-17,33,raly,
5.86E-17,33,zmp:0000000846,
8.16E-17,33,foxj1a,
1.86E-15,33,ftcd,
4.29E-15,33,ppp1r1b,
6.82E-15,33,zgc:162730,
7.27E-15,33,mlf1,
1.05E-14,33,slc2a1a,
1.20E-14,33,zgc:158343,
1.97E-14,33,phlda1,
2.05E-14,33,malb,
4.35E-14,33,ccdc173,
4.43E-14,33,atp6v1e1b,
8.42E-14,33,ndrg3a,
8.62E-14,33,gata3,
1.01E-13,33,bhlhe40,
1.63E-13,33,bcam,
4.11E-13,33,etf1a,
1.01E-12,33,mctp2b,
1.02E-12,33,anxa4,
3.37E-12,33,lad1,
9.96E-12,33,atp6v0a1a,
1.99E-11,33,socs3a,
4.47E-11,33,cebpa,
7.25E-11,33,tcea3,
3.24E-10,33,egr2a,
5.57E-10,33,plecb,
6.68E-10,33,tbx2b,
2.09E-09,33,rnaseka,
8.13E-09,33,cebpb,
3.03E-08,33,xirp1,
5.25E-08,33,slc3a2a,
6.16E-08,33,cxcl20,
7.31E-08,33,tmx2b,
1.67E-07,33,capns1a,
1.70E-07,33,DSG2,
2.00E-07,33,hbegfa,
2.23E-07,33,igfn1.1,
2.68E-07,33,gstp1,
3.02E-07,33,stm,
5.88E-07,33,ftr83,
1.06E-06,33,slc26a6,
1.18E-06,33,fermt1,
2.55E-06,33,id2b,
2.66E-06,33,nupr1b,
1.08E-05,33,mafa,
1.76E-05,33,zgc:63972,
1.87E-05,33,capn2a,
1.93E-05,33,BX248318.1,
2.06E-05,33,si:ch211-163l21.7,
3.23E-05,33,si:dkey-33i11.9,
5.07E-05,33,serpinb14,
8.03E-05,33,si:ch211-202f5.3,
0.000112690122851308,33,mybpc2b,
0.000171649489206215,33,znf185,
0.000206244460830543,33,echdc2,
0.000536841474115863,33,lgmn,
0.00065728919043845,33,ppargc1a,
0.000674388557910762,33,scg3,
0.000711058948551376,33,penkb,
0.000804188139567124,33,cd9b,
0.001310270143478,33,atp5if1b,
0.00146124064505899,33,atp6v1g1,
0.00160778038098552,33,rab11al,
0.00202645657238817,33,prr13,
0.00276867270216959,33,si:ch211-193l2.10,
0.0028918943066387,33,rbm47,
0.00493069259069844,33,selenow1,
0.00742124455484989,33,gdpd3a,
0.00768574809302196,33,lamb2,
0.0113232077961319,33,rnf183,
0.0175520853512124,33,sstr5,
0.0283474138116368,33,KCNJ15,
0.0339642927511147,33,cldnh,
0.0365369527043556,33,phlda2,
0.0457709951504742,33,hspb8,
0.0663006428677295,33,si:ch211-153b23.5,
0.0700286510023514,33,mb,
0.0776981638119754,33,cdaa,
0.091560756948763,33,si:ch211-157b11.8,
0.111761816594188,33,alox5a,
0.133487935021922,33,palm3,
0.155604928056427,33,ptx3b,
0.258921632823212,33,enkur,
0.389088899038068,33,fuca1.1,
0.393460521375767,33,ptk2bb,
0.463336393534845,33,emx1,
0.496667982481456,33,tbx2a,
0.776510378101414,33,tpm3,
1,33,mt2,
1,33,gamt,
1,33,pleca,
1,33,cldnc,
1,33,kctd12.2,
1,33,cox6b1,
1,33,tagln2,
1,33,si:dkey-16p21.8,
1,33,atf3,
1,33,arl4ca,
1,33,tmprss2,
1,33,si:ch211-243g18.2,
1,33,tfap2a,
1,33,tagln3b,
1,33,cdh1,
1,33,prdx5,
1,33,ppdpfa,
1,33,ndufa4,
1,33,cfap45,
2.14E-82,34,myl10,
2.47E-81,34,myl13,
7.32E-76,34,actc1b,
6.49E-75,34,tpm2,
8.05E-61,34,tnni1c,
9.55E-61,34,ckma,
7.86E-59,34,tpm3,
1.20E-58,34,tnnc1b,
1.44E-58,34,eno3,
1.87E-58,34,nme2b.2,
3.89E-58,34,actc1a,
9.19E-58,34,tnni4b.2,
1.81E-55,34,tnnt2c,
4.90E-54,34,ckmb,
1.38E-53,34,aldoab,
1.52E-53,34,ak1,
2.34E-52,34,pvalb4,
5.76E-51,34,acta1a,
1.86E-50,34,gapdh,
1.12E-48,34,smyhc1,
1.13E-48,34,tnni2b.1,
4.42E-48,34,desma,
1.07E-46,34,mybpc3,
2.12E-44,34,zgc:86709,
3.77E-44,34,tpi1b,
8.95E-44,34,tpma,
9.87E-44,34,pgam2,
1.18E-43,34,tnnc2,
2.66E-43,34,mybphb,
4.22E-42,34,klhl43,
1.81E-41,34,atp2a1,
8.27E-41,34,tnnt2d,
9.85E-37,34,acta1b,
3.29E-35,34,cavin4a,
3.78E-34,34,tnnt3a,
3.78E-33,34,tmem38a,
5.92E-29,34,abraa,
2.50E-28,34,zgc:92429,
8.04E-28,34,smyd1a,
1.87E-27,34,sar1ab,
3.61E-27,34,pygma,
5.39E-27,34,ldb3b,
5.68E-27,34,CABZ01078594.1,
3.48E-26,34,cap2,
5.47E-26,34,tbx15,
6.60E-26,34,actc1c,
1.19E-25,34,cav3,
2.31E-25,34,pmp22b,
1.32E-24,34,unm-hu7910,
4.87E-24,34,mylpfa,
6.29E-24,34,abca12,
9.19E-24,34,ttn.2,
7.81E-23,34,arxa,
1.12E-22,34,CR855257.1,
1.36E-22,34,hspb1,
1.37E-22,34,mylz3,
1.75E-22,34,ldb3a,
2.44E-22,34,rbfox1l,
7.23E-22,34,prx,
1.35E-21,34,twf2a,
4.47E-21,34,sptb,
5.18E-21,34,casq2,
2.03E-20,34,hrc,
3.25E-20,34,CABZ01080568.1,
1.17E-19,34,bin1b,
1.41E-19,34,ttn.1,
3.94E-19,34,stac3,
5.38E-19,34,si:ch73-187m15.4,
1.08E-18,34,cfl2,
2.01E-18,34,neb,
1.20E-17,34,si:ch211-195b13.1,
4.44E-17,34,alpk3a,
1.69E-16,34,srl,
3.76E-16,34,bag3,
4.34E-16,34,col13a1,
3.67E-15,34,zgc:92518,
6.75E-15,34,zgc:92287,
7.51E-15,34,cox17,
7.73E-15,34,ctgfa,
1.17E-14,34,zgc:101853,
1.50E-14,34,si:ch73-367p23.2,
